column_or_row_name,unit,definition,measured_variable,column_or_row_long_name,data_type,missing_value_code,unit_basis,statistic_measurement,statistic_spatial,statistic_temporal,representation_temporal,notes
material,N/A,Material / medium being measured.,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A
datetime_collected,N/A,"Date and time of sample collection, to known specificity.",N/A,N/A,datetime,,N/A,N/A,N/A,N/A,N/A,N/A
latitude,degree,"Latitude of the location, in decimal degree and in decimal degree and in a coordinate reference system with WGS84 datum. Provide latitude in +/- notation, rather than North/South notation.",N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A
longitude,degree,"Longitude of the location, in decimal degree and in a coordinate reference system with WGS84 datum. Provide longitude in +/- notation, rather than East/West notation.",N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A
location_description,N/A,"Text description of a location. Details could include physical environment, sampling infrastructure, ecosystem type, and habitat.",N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A
time_elapsed,seconds,"Cumulative time elapsed, to known specificity, between the first measurement and the current measurement, on a single sample.",N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A
sample_name,N/A,"Collector's project-specific sample name, which must be unique for each sample within the dataset that you are submitting.",N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A
vertical_position,meter,"Height / altitude (positive numbers) or depth (negative numbers) in reference to the ground surface, unless a different reference is specified in the vertical_reference_position field. One vertical position is allowed for each location.",N/A,N/A,numeric,,N/A,N/A,N/A,N/A,N/A,N/A
vertical_position_reference,N/A,"Reference for the vertical_position. If vertical_position is not provided in reference to the ground surface, a vertical_position_reference must be specified.",N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A
treatment_id,N/A,"User-defined identifier that indicates what treatment was used for manipulation experiments, if applicable. Strongly recommended that only letters, numbers, hyphens, and underscores are used.",N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A
datetime_measured,N/A,"Date and time of measurement, to known specificity.",N/A,N/A,datetime,,N/A,N/A,N/A,N/A,N/A,N/A
notes,N/A,Free text notes field.,N/A,N/A,text,,N/A,N/A,N/A,N/A,N/A,N/A
